Title;Ingredients;Steps;Loves;URL
Ayam goreng tepung;150 gr fillet ayam 5 sdm tepung bumbu serbaguna 1 butir telur ayam (kocok lepas) Garam sck Minya goreng secukupnya untuk menggoreng ;Cuci ayam, tiriskan beri perasan jeruk lemon (skip boleh) Potong ayam bentuk dadu. Koco telur beri secukupnya garam. Masukkan ayam yg telah dipotong dadu. Balurkan ke dalam tepung serbaguna. Goreng pada minyak yg panas. Siap disantap;1;/id/resep/4472498-ayam-goreng-tepung
Tulang Ayam Pedas Manis;1/2 kg tulang ayam bersihkan lalu potong 5 bh cabe merah keriting 5 bh cabe rawit (tambah jika suka pedas) 4 butir bawang merah 2 butir bawang putih 1 ruas kunyit 2 lbr daun salam 1 lbr daun jeruk 1 btg sereh geprek 1 ruas jahe geprek 1 btr jeruk nipis secukupnya kaldu bubuk secukupnya gula pasir secukupnya kecap manis 500 ml air untuk merebus tulang minyak untuk menumis ;Setelah tulang ayam di bersihkan dan di potong potong lumuri tulang dengan perasan jeruk nipis lalu biarkan Siapkan bumbu yg akan di haluskan bwg merah, bwg putih, cabe, dan kunyit blender hingga halus Siapkan air untuk merebus tulang tambahkan jahe yg sudah di geprek dan daun jeruk ungkep tulang hingga air menyusut Tumis bumbu yg sudah di halus kan tambahkan air secukupnya dan daun salam juga sereh geprek, masukan tulang ayam, beri kaldu bubuk, gula pasir dan kecap manis secukupnya jgn lupa test rasanya dan biarkan tulang ayam hingga meresap Setelah tulang ayam kuahnya agak sedikit meresap angkat lalu sajikan Bisa untuk teman makan mie ayam lohh moms 😃 ;3;/id/resep/4472409-tulang-ayam-pedas-manis
Ayam penyet rumahan;1 ekr ayam negri cuci bersih ptng beri air jeruk nipis cuci lagi 1 buah jeruk nipis Bumbu ayam goreng jd,yg bsah. bisa beli di pasar,aku beli 3rb 2 lmbr daun salam 2 lmbr daun jeruk 1 btng sere geprek Garam secukupnya dan penyedap secukupnya Minyak goreng Sambel penyet: 20 buah cabe rawit merah 5 buah cabe merah 2 siung bawang p kating 5 buah bawang merah goreng sebentr Penyedap dan sedikit gula ;Ungkep ayam bersama bumbu jadi, daun salam, daun jeruk, sere,dan garam,tambah sedikit penyedap apinya kecil ajah ya. Lalu tutup Apabila sudah empuk dan matang goreng dalam minyak panas dan banyak sampe warna kuning kecoklatan, angkat Sementara lagi goreng ayam, kita siapkan sambel dulu, uleg semua cabe, dan bawang merah garam,sedikit gula dan penyedap, setelah agak halus kumpulin sambalnya di tengah cobek lalu siram dengan minyak panas bekas goreng ayam tadi lalu uleg lagi supaya rata Masukan ayam goreng ke dalam cobek lalu penyet pake ulegan, siap di hidangkan Selamat mencoba ;3;/id/resep/4472187-ayam-penyet-rumahan
Sop ayam;1 kg ayam potong kecil kecil 1/2 kg ceker ayam bersihkan 1/2 kg kentang iris 1/2 kg wortel iris 1 mangkok makaroni (rebus) 2 batang daun bawang (sesuai selera) 4 batang daun seledri (sesuai selera) Bumbu dihaluskan : 8 siung bawang merah 5 siung bawang putih Tambahan : 1 sendok teh lada halus secukupnya Garam Penyedap rasa (bila Sun's saya pake gula aja) ;Tumis bawang merah dan bawang putih hingga harum Masukkan potongan ayam dan ceker ke tumisan bumbu aduk rata Pindahkan ke panci besar tanbahkan air secukupkan Didihkan sampai ayam dan ceker cukup matang Masukkan kentang dan wortel yang diiris tadi, tunggu sampai lembut Masukkan macaroni yg sudah direbus Taburkan lada bubuk dan garam, tes rasa Terakhir masukkan daun bawang dan daun seledri Siap dihidangkan, taburkan bawang goreng biar tambah maknyuss ;3;/id/resep/4472298-sop-ayam
Ayam suwir;400 grm dada ayam 3 lembar daun jeruk 4 siung bawang putih 6 siung bawang merah 1 cm jahe 1 cm kunyit secukupnya Garam dan gula Minyak untuk menumis ;Rebus ayam sampai matang dan di suir suir. Haluskan bawang putih, bawang merah, jahe, dan kunyit. Panaskan minyak tumis bumbu halus, masukkan daun jeruk masak hingga harum tambahkan air secukupnya. Masukkan ayam masak hingga matang. ;0;/id/resep/4472222-ayam-suwir
Nugget Ayam Home Made;1/4 kg ayam d fillet ambil dagingnya aja 1 buah wortel 1 buah daun bawang prei 4 siung bawang putih 8 siung bawang merah 1 sdt merica 1/2 kg tepung tapioka 2 telur ayam Garam, penyedap rasa Tepung roti/ tepung panir ;Cuci bersih ayam. Setelah itu potong kecil2. Masukkan dlm blender. Tambahkan 1 telur ayam, bwg pth, bwg merah, merica. Air sdkt. Lalu blender. Setelah itu parut wortel, ptong kecil2 daun bawang prei Taruh adonan ayam dalam wadah Masukkan wortel, daun prei, tepung tapioka 10 sdm. Kalau pengen lebih padet bisa tambahkan lagi. Sesuai selera Aduk2 ya sampai tercampur rata. Tambah i garam, penyedap. Siapkan wadah. Tuang adonan ke dalam wadah yg sebelumnya d olesi mentega Kukus d panci pengukusan. Kukus 30 - 40 mnt. Setelah matang, keluarkan dr panci. Biarkan dingin. Lalu keluarkan. Siapkan 1 telur (dikocok), tepung panir. Potong2 adonan jd kecil2, celupkan ke telur, lalu baluri dg tepung panir. Setelah itu goreng.Nugget siap d hidangkan. Nugget juga bisa d simpan d dalam freezer ya moms 😊. Jadi sewaktu2 bisa langsung goreng. ;6;/id/resep/4472482-nugget-ayam-home-made
Ayam Koloke;250 gr ayam fillet, potong-potong 2 sdm tepung bumbu serbaguna (larutkan dgn 75 ml air) Pelapis: 4 sdm tepung terigu 1 sdm maizena Bahan Saus 1 sdm butter / margarin 2 siung bawang putih, cincang halus 1 siung bawang bombai uk. Kecil (iris halus) 1/2 bh wortel (potong korek api) 1/2 bh timun (buang biji dan iris korek api) 1 btg daun bawang (potong2) 2 bh cabe merah (iris serong) 3 bh cabe rawit (iris serong) 3 sdm saus tomat 1 sdm saus tiram 1 sdt minyak wijen 1 sdt air lemon / jeruk nipis / cuka masak 250 ml air Garam, lada, gula 1 sdt maizena (larutlan dgn 1 sdm air) ;Marinade ayam dgn tepung bumbu serbaguna yg sudah dilarutkan, aduk & disisihkan. Siapkan bahan pelapis. Ambil potongan ayam & balur ke dalam bahan pelapis. Goreng dalam minyak panas sampai matang. Lakukan sampai habis. Bahan saus: lelehkan butter, tumis duo bawang sampai harum. Masukkan wortel dan timun, tambahkan air, lalu masak sampai air mendidih. Masukkan duo cabe, saus tomat, saus tiram, minyak wijen, garam, gula, lada, air lemon, aduk rata. Masukkan larutan maizena, aduk sampai mengental. Terakhir masukkan daun bawang, matikan api supaya sayuran tidak over cook. ;3;/id/resep/4472309-ayam-koloke
Mie tulang ayam;1/4 kg tulang ayam 1 bungkus kecil mie burung dara 5 siung bawang putih 3 siung bawang merah 7 cabe rawit 1 tangkai daun bawang 2 tangkai seledri 1 1/2 sdm merica bubuk 2 sdm saos cabe 3 sdm kecap manis secukupnya Gula dan garam Minyak untuk menumis ;Cuci bersih lalu rebus tulang ayam kurleb 10 menit. Lalu tiriskan Rebus mie sampai setengah matang. Lalu tiriskan Haluskan bawang merah, bawang putih dan cabe rawit Tumis sampai harum bumbu halus dengan irisan seledri dan daun bawang. Lalu tambahkan merica bubuk, gula dan garam. Masukkan tulang ayam, tunggu sampai bumbu meresap. Masukkan mie, saos dan kecap. Lalu tumis sampai bumbu tercampur. Tambahkan gula dan garam jika diperlukan. Mie tulang ayam siap dihidangkan. ;1;/id/resep/4472258-mie-tulang-ayam
Ayam Suir Bali (bemesere bali);1/2 kg dada ayam (rebus dahulu) 50 ml minyak goreng Bumbu : 1/4 kg cabai merah 1/2 buah tomat 5 buah Cabe rawit secukupnya Garam secukupnya Gula jawa 1 sdt terasi bakar 1/2 perasan jeruk limo 3 buah daun jeruk purut ;Rebus ayam terlebih dahulu. Lalu, di suwir-suwir. (saya rebus karna kalau goreng, ayamny akan terasa keras dan kering) Ulek halus bumbu, lalu icip2 rasa agar pas Siapkan wajan, masukkan minyak goreng. Tunggu sampai panas, tuangkan bumbu Stelah stengah matang, lalu masukan ayam yang sudah disuir. Tunggu sampai agak meresap bumbuny. Masukkan perasan limo dan daun jeruk Makanan siap dihidangkan. Simple dan enak ;0;/id/resep/4472532-ayam-suir-bali-bemesere-bali
Ayam Kacang Panjang Saos Hoisin;Bahan Daging 1 lembar paha atas/dada ayam 1 sdm kecap asin, arak beras, tapioka Bahan saos 1 ikat Kacang panjang 2 siung baput cincang halus 3 cm jahe cincang halus 1 sdm saos hoisin 1 sdt kecap asin 0.5 sdt micin 100 ml air Larutan tapioka ;Marinade daging dengan bahannya 30mnt. Sebelum di tumis beri 1sdm minyak di daging ayam, aduk rata, lalu tumis agar tidak lengket di wajan. Matang, lalu angkat. Tumis jahe 10detik, masukkan baput lalu tumis sampai wangi. Masukkan kacang panjang, tumis sebentar lalu masukkan air, saos hoisin, kecap asin, micin. Tutup wajan, kecil kan api. Tunggu 1-2menit, buka tinder tutup wajan, aduk sebentar lalu tutup lg 1-2menit. Masukkan daging, aduk rata. Masukan larutan tapioka agar saos mengental. Aduk rata lalu sajikan ;2;/id/resep/4472201-ayam-kacang-panjang-saos-hoisin
Ayam penyet sambel kemangi;400 gr dada ayam 1 ikat daun kemangi 1 buah timun uk sedang 1 bungkus bumbu racik tempe bahan sambel 10 buah cabe merah 10 buah cabe rawit 3 siung bamer 2 siung baput gula garam 1/2 buah tomat merah secukupnya terasi secukupnya minyak utk menggoreng air utk mengungkep ayam ;Potong ayam sesuai selera,cuxi bersih lalu ungkep dengan sesikit air dan campur dengan bumbu racik tempe,matang angkat Panas kan minyak lalu goreng ayam hingga matang kecoklatan Goreng sebentar semua bahan sambel nya,,uleg jadi satu tambahkan garam gula...tes rasa...kalo sudah oke..masukkan beberapa lmbar daun kemangi..giling agak kasar aja Geprek ayam di atas ulek an,,susun di piring lalu letakkan sambel di atas ayam..susun irisan timun,dan juga kemangi. siap di santap dwngan nasi panas ;0;/id/resep/4472141-ayam-penyet-sambel-kemangi
Nugget Ayam Wortel;250 gram daging ayam giling 1 buah wortel ukuran sedang 1/2 buah bawang bombay 2-3 siung bawang putih 3 batang daun bawang 2 butir telur ayam 100 gram tepung terigu (kurang lebih) secukupnya Tepung roti secukupnya Garam secukupnya Lada secukupnya Penyedap rasa ayam Minyak goreng ;Potong-potong bawang bombay dan bawang putih. Tumis dengan sedikit minyak hingga harum. Angkat Campurkan tumisan bawang dengan daging ayam giling dengan menggunakan blender atau food processor. Campur hingga bawang halus & tercampur rata. Tuang pada wadah yg telah disediakan untuk dicampur dengan bahan lain Potong wortel jadi bagian yg kecil. Masukkan pada campuran daging giling sebelumnya Potong daun bawang jadi bagian yg kecil. Masukkan pada adonan. Campur hingga rata Masukkan 1 butir telur ayam. Campurkan Masukkan tepung terigu perlahan-lahan dan campur hingga rata. Masukkan garam,lada dan penyedap rasa secukupnya. Panaskan kukusan Letakkan adonan pada cetakan yg telah disediakan. Masukkan pada kukusan yg telah dipanaskan sebelumnya. Tutup kukusan diberi kain agar air tidak menetes diadonan. Kukus kurang lebih 25-30 menit Angkat adonan yg sudah matang dari kukusan. Biarkan agar sedikit dingin. Setelah dingin potong-potong sesuai ukuran yg diinginkan. Kocok lepas 1 butir telur ayam. Celupkan adonan nugget yg telah dipotong tadi kedalam telur. Kemudian gulingkan di tepung roti. Ulangi langkah 11 hingga adonan nugget habis Dinginkan pada freezer kurang lebih 1 jam agar tepung roti menempel dengan sempurna Goreng nugget dengan minyak panas. Nugget ayam wortel siap disajikan. Nugget yg masuk ke dalam freezer dapat bertahan maksimal 3-4 minggu ;4;/id/resep/4472084-nugget-ayam-wortel
Ayam goreng pedas gila ala Kfc;1/2 kg ayam 3 bungkus tepung bumbu uk 80 g yg pedas (aku pke sajiku) Secukupnya air es Minyak goreng ;"Potong"" ayam, lalu cuci sampai bersih. Siapkan 2 mgkok. 1 untuk adonan tepung yang basah yg 1 nya lagi untuk tepung kering. Tuangkan kira"" 2 sdm tepung bumbu lalu tambahkan secukupnya air es kocok pakai garpu sampai adonannya encer. Celupkakan ayam ke dalam adonan basah lalu gulingkan ke dalam tepung kering sambil di remas"" hingga terbentuk kulit tepung yang keriting. Ulangi sampai selesai Panaskan minyak, lalu goreng sampai kecoklatan. Angkat, tiriskan. Ayam goreng siap untuk dinikmati. NB: kalau gk suka terlalu pedas tepung bumbunya bisa di mix sama yang original ya jd yg pedas bisa pke 1 bungkus aj yg 2 bungkus yg original. ";2;/id/resep/4471847-ayam-goreng-pedas-gila-ala-kfc
Resep Ayam Kecap Rumahan;1/2 Kg ayam Bumbu yg di haluskan : 3 Bawang Putih 7 Bawang Merah sesuai selera Cabe rawit dan cabe merah besar 2 cm Jahe secukupnya Lada dan Pala Lengkuas se jempol kaki😂 4 biji Kemiri ;Rebus air sampai mendidih lalu masukan ayam dan ungkep sampai empuk Haluskan semua bumbu Panaskan minyak lalu tumis bumbu halus sampai wangi Masukan daun salam 3 lembar dan sereh 2 di geprek Setelah bumbu sudah matang masukkan 1 gelas air Tambahkan garam,micin,royko,asem Setelah di rasa sudah cukup masukan ayam Kecilkan api biar bumbunya meresap. Masak sampai bumbu menyusut (jadi agak kental gitu) Lalu hidangkan ;0;/id/resep/4472147-resep-ayam-kecap-rumahan
Sop Ayam Garang Asam;1/2 ayam 3 serai 3 cm jahe 20 cabe rawit merah 8 bawang putih 4 bawang merah 2 tomat hijau 2 jeruk nipis (boleh lebih) 4 daun jeruk secukupnya daun bawang secukupnya garam secukupnya penyedap secukupnya air matang ;Potong dan bersihkan ayam sesuai selera (kalo aku ku beri perasan jeruk nipis lalu diamkan dulu) Bawang2an diiris kasar, serai dan jahe di geprek, cabe aku hanya iris 6pc sisanya aku biarkan utuh, tomat kupotong memanjang begitu juga daun bawang. Panaskan minyak sedikit saja, masukkan bawang serai daun jeruk dan juga cabe diamkan hingga harum lalu masukkan air dan tunggu hingga mendidih. aetelah mendidih masukkan ayam Tunggu ayam hingga setengah empuk bumbui dengan penyedap garam dan juga gula, masukkan perasan jeruk nipis dan tomat aduk hingga merata Setelah koreksi rasa dan dirasa sudah pas dan ayam matang masukkan daun bawang. setelah itu selesai ;2;/id/resep/4466395-sop-ayam-garang-asam
Ayam goreng krutuk;tepung terigu Air matang ayam (yg sudah direbus sebelumnya) Garam Gula/penyedap Lada bubuk 1 butir telur ayam Minyak goreng ;Campur tepung terigu(kurang lebih 1/2 mangkuk kecil) dengan garam,gula/penyedap dan garam secukupnya. Tambahkan air matang sedikit demi sedikit hingga agak mengental. Koreksi rasa Balur ayam yg telah direbus sebelumnya dengan 1 butir telur (yg sudah dikocok lepas), kemudian gulingkan dalam adonan tepung, sisihkan Panaskan minyak goreng dengan api sedang, jika sudah panas masukan ayam yg sudah diberi adonan tepung, kecilkan api lalu masak hingga berwarna kecoklatan dan garing, angkat dan tiriskan. Selamat menikmati 😀 ;4;/id/resep/927515-ayam-goreng-krutuk
Soto ayam kuah santan;1/5 kg ayam (diungkep dulu,lalu digoreng) 2 bungkus santan kara 2 cm kunyit 1 cm jahe secukupnya Lada secukupnya Daun salam,lengkuas,daun jeruk dan sereh 5 siung bawang merah 5 siung bawang putih Penyedap : gula,garam royko ayam Bahan pelengkap: iris Tomat Daun bawang dan seledri Bihun (rebus dulu) Bawang goreng Kol di potong tipis Tahu goreng Kerupuk Bawang goreng Jeruk nipis Sambal (cabe rawit,bawang putih/merah di rebus dulu, diulek) ;Panaskan air rebus ayam hingga matang lalu tiriskan (air rebusan ayam bisa untuk kuah soto),lalu goreng ayam hingga matang Haluskan bumbu bawang merah,putih,kunyit,jahe,lada,lengkuas sereh cukup digeprek dan tumis hingga matang Masukan tumisan bumbu kedalam rebusan air,masukan daun salam,sereh dan daun jeruk Berikan bumbu garam,gula penyedap rasa, daun bawang dan santan kara masak hingga matang Sajikan soto selagi hangat bersama bihun dan pelengkap lainya ;3;/id/resep/4471748-soto-ayam-kuah-santan
